,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
314,287376075.0,28120207,499655,12004063.0
315,287295785.0,28177359,500893,12025963.0
316,287187062.0,28233518,502206,12077214.0
317,288702235.0,28305788,504481,10487496.0
318,288557038.0,28380537,507664,10554761.0
319,288420130.0,28458041,510097,10611732.0
320,288309247.0,28535390,512175,10643188.0
321,288189989.0,28600015,513696,10696300.0
322,288115904.0,28651436,514788,10717872.0
323,288027225.0,28709536,516304,10746935.0
324,287936724.0,28766634,518245,10778397.0
325,287835457.0,28833825,520726,10809992.0
326,287719952.0,28901885,522648,10855515.0
327,287625079.0,28968304,524451,10882166.0
328,287565315.0,29026558,525961,10882166.0
329,298405705.0,29067631,526664,0.0
330,298360052.0,29112548,527400,0.0
331,298300580.0,29170215,529205,0.0
332,298241115.0,29228110,530775,0.0
333,298177086.0,29290581,532333,0.0
334,298114028.0,29352094,533878,0.0
335,298059966.0,29405125,534909,0.0
336,298021103.0,29443403,535494,0.0
337,297963814.0,29499944,536242,0.0
338,297908627.0,29553952,537421,0.0
339,297848120.0,29613232,538648,0.0
340,297786099.0,29673607,540294,0.0
341,297723321.0,29735258,541421,0.0
342,297667062.0,29790777,542161,0.0
343,297632752.0,29824599,542649,0.0
344,297580595.0,29876035,543370,0.0
345,297526032.0,29929723,544245,0.0
346,297437584.0,30016661,545755,0.0
347,297368638.0,30084207,547155,0.0
348,297290110.0,30161584,548306,0.0
349,297226472.0,30224426,549102,0.0
350,297182724.0,30267649,549627,0.0
351,297112747.0,30336922,550331,0.0
352,297050435.0,30398351,551214,0.0
353,296982592.0,30465116,552292,0.0
354,296902396.0,30544235,553369,0.0
355,296831555.0,30614122,554323,0.0
356,296767543.0,30677383,555074,0.0
357,296732113.0,30712516,555371,0.0
358,296654204.0,30789920,555876,0.0
359,296592670.0,30850594,556736,0.0
360,296515056.0,30925615,559329,0.0
361,296434134.0,31005509,560357,0.0
362,296350533.0,31088219,561248,0.0
363,296283136.0,31154904,561960,0.0
364,296236324.0,31201411,562265,0.0
365,296165771.0,31271490,562739,0.0
366,296086974.0,31349456,563570,0.0
367,296010615.0,31424859,564526,0.0
368,295935401.0,31499167,565432,0.0
369,295854451.0,31579238,566311,0.0
370,295801219.0,31631770,567011,0.0
371,295758760.0,31673891,567349,0.0
372,295690158.0,31741996,567846,0.0
373,295628366.0,31802945,568689,0.0
374,295564651.0,31865800,569549,0.0
375,295496405.0,31933078,570517,0.0
376,295433216.0,31995489,571295,0.0
377,295378970.0,32048984,572046,0.0
378,295346524.0,32081137,572339,0.0
379,295298466.0,32128705,572829,0.0
380,295246976.0,32179541,573483,0.0
381,295190858.0,32234691,574451,0.0
382,295131730.0,32292942,575328,0.0
383,295073061.0,32350861,576078,0.0
384,295026954.0,32396252,576794,0.0
385,294997211.0,32425655,577134,0.0
